,decision_tree,gradient_boosting,knn,logreg,mlp,naive_bayes,random_forest,svm
2,1.74,,1.77,2.22,33.46,,3.17,1.8
3,2.05,,2.04,2,104.61,,3.46,2.57
6,2.84,3279.58,3.94,4.45,339.38,3.79,3.11,6.24
11,1.75,11.83,1.74,1.69,47.9,2.8,2.08,1.74
12,3.65,88.44,4.54,4.51,36.96,3.51,3.76,3.66
14,4.51,97.23,4.98,3.95,69.4,4.94,4.09,4.03
15,1.77,3.83,1.74,1.76,47.36,2.99,2.08,1.73
16,3.68,86.16,4.63,3.73,33.15,3.49,3.89,3.87
18,1.86,92.61,2.87,1.86,30.64,1.85,2.14,1.84
20,3.3,,3.08,3.7,79.22,,4.51,7.66
21,1.76,,1.77,1.77,46.83,,3.15,1.86
22,3.08,97.11,4.09,3.33,45.69,2.95,3.36,4.03
23,1.79,,1.76,1.81,92.46,,3.21,1.89
24,2.48,,2.28,2.33,59.02,,3.65,4.36
28,2.64,184.89,3.71,3.37,99.24,3.63,2.98,3.08
29,1.77,,1.79,1.76,33.93,,2.1,1.8
31,1.8,,1.8,1.81,44.99,,3.34,1.86
32,2.38,329.36,3.43,2.67,174.89,3.33,2.62,2.65
36,2.05,53.04,3.07,2.03,62.75,3.03,2.33,2.09
37,1.77,4.31,1.77,1.74,30.08,1.77,2.11,1.8
41,1.78,,1.72,1.87,24.51,,3.12,1.88
43,2.77,72.98,3.63,2.63,85.01,3.69,2.89,3.31
45,2.54,,2.45,2.52,86.5,,3.88,4.29
49,1.78,,1.75,1.77,42.66,,2.09,1.92
53,2.8,16.89,1.79,1.8,55.43,2.79,2.08,1.81
58,2.83,59.82,3.72,2.58,154.85,3.75,3.02,3.55
219,5.46,,4.35,4.53,7869,,5.86,72
2074,3.67,111.68,3.46,2.57,131.48,3.52,2.75,2.85
2075,2.02,,1.93,2.15,114.7,,3.35,2.65
2079,1.81,,1.78,1.8,8.34,,2.14,1.83
3021,2.16,,2.06,2.1,92.06,,3.48,2.27
3022,1.88,,1.84,1.87,48.31,,3.19,1.88
3481,54.9,1876.67,52.6,105.55,193.67,51,53.04,65
3485,14.48,,12.45,11.98,79.48,,13.02,12.38
3492,1.74,,1.74,1.76,13.99,,2.1,1.78
3493,1.73,,1.93,1.72,18.57,,3.07,1.76
3494,1.73,,1.73,1.76,19.36,,2.12,1.74
3510,4.84,275.51,5.81,4.98,295.45,5.68,5.01,5.25
3512,2.22,22.05,2.19,2.17,15.74,3.19,2.47,2.18
3543,1.74,,1.71,1.7,15.37,,2.04,1.72
3549,1.89,16.19,1.87,1.89,9.94,2.88,2.23,1.88
3560,1.72,,1.72,1.76,29.74,,2.29,1.75
3561,1.78,,1.76,1.76,11.31,,3.08,1.76
3567,1.83,,1.78,1.82,9.91,,2.19,1.79
3889,10.26,53.27,11.07,10.89,194.76,10.81,10.05,14.75
3891,13.81,104.33,13.76,14.76,95.52,13.77,12.97,18.2
3896,2.28,33.2,3.24,2.27,119.95,3.24,2.58,3.27
3899,2.8,38.18,2.76,2.79,456.86,3.86,3.07,11.19
3902,1.99,20.38,1.94,1.96,48.68,2.96,2.25,1.94
3903,1.92,25.01,1.89,1.93,27.87,2.87,2.24,1.97
3904,3.16,145.46,3.97,2.95,817.61,4.11,3.33,9.49
3913,1.83,8.6,1.78,1.74,25.58,1.78,2.12,2.77
3917,1.93,24.56,1.9,1.9,61.32,3.01,2.25,2.07
3918,1.87,14.67,1.84,1.85,32.52,2.8,2.19,1.85
3946,152.44,,93.18,104.56,18701,,94.61,2049.02
3948,143.28,,93.04,102.96,16147,,93.38,1805.25
3954,8.51,184.95,8.03,6.82,1795.01,8.11,7.32,18.9
7592,7.76,,6.06,6.27,2845.48,,7.53,164.24
